0.0	0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000 0.0000000000000000  	-1.0000000000000000e+00 -2.0000000000000000e+00 -3.0000000000000000e+00 -4.0000000000000000e+00 -5.0000000000000000e+00 -6.0000000000000000e+00 -7.0000000000000000e+00 -8.0000000000000000e+00 -9.0000000000000000e+00 -1.0000000000000000e+01  	10000	1.0000000000000000e+00
0.1	0.9969550365090624 1.9966217570085403 2.9964586676825395 3.9964838261110027 4.9966099255690581 5.9965462931018854 6.9964735421014499 7.9964511560312932 8.9964963361547916 9.9965549965393112  	-3.0449634909376355e-03 -3.3782429914597234e-03 -3.5413323174604550e-03 -3.5161738889972760e-03 -3.3900744309418585e-03 -3.4537068981146390e-03 -3.5264578985501061e-03 -3.5488439687068052e-03 -3.5036638452083935e-03 -3.4450034606887669e-03  	10000	6.0809344436525762e+01
0.2	0.9999665648223964 1.9999629167990771 2.9999611244185855 3.9999614023980565 4.9999627889351217 5.9999620999865106 6.9999613041360558 7.9999610634897715 8.9999615580546184 9.9999622068024916  	-3.3435177603569066e-05 -3.7083200922882753e-05 -3.8875581414465898e-05 -3.8597601943468618e-05 -3.7211064878306388e-05 -3.7900013489355899e-05 -3.8695863944226971e-05 -3.8936510228460008e-05 -3.8441945381606502e-05 -3.7793197508406706e-05  	7626	6.0822287985192553e+01
0.3	0.9999666230216042 1.9999629941876964 2.9999612031675329 3.9999614825872132 4.9999628688278808 5.9999621919293213 6.9999614007844428 7.9999611662936898 8.9999616582944597 9.9999623110524709  	-3.3376978395782686e-05 -3.7005812303592123e-05 -3.8796832467102860e-05 -3.8517412786820415e-05 -3.7131172119231337e-05 -3.7808070678657657e-05 -3.8599215557155730e-05 -3.8833706310192895e-05 -3.8341705540290150e-05 -3.7688947529090910e-05  	4817	6.0712627763463303e+01
0.4	0.9999667684243304 1.9999631697265630 2.9999613845424227 3.9999616648957357 4.9999630474602377 5.9999623856080539 6.9999616016082920 7.9999613745346938 8.9999618624957076 9.9999625181365630  	-3.3231575669590008e-05 -3.6830273437038485e-05 -3.8615457577328982e-05 -3.8335104264319853e-05 -3.6952539762324932e-05 -3.7614391946050318e-05 -3.8398391708049928e-05 -3.8625465306196816e-05 -3.8137504292379276e-05 -3.7481863436994445e-05  	3413	6.0436783649635863e+01
0.5	0.9999670205847170 1.9999634652420109 2.9999616913977922 3.9999619720377924 4.9999633467584603 5.9999627034650445 6.9999619295488325 7.9999617113545201 8.9999621934940173 9.9999628505633478  	-3.2979415283018731e-05 -3.6534757989148403e-05 -3.8308602207770548e-05 -3.8027962207642929e-05 -3.6653241539674752e-05 -3.7296534955544303e-05 -3.8070451167548924e-05 -3.8288645479944705e-05 -3.7806505982729277e-05 -3.7149436652228474e-05  	2571	5.9939137144124608e+01
0.6	0.9999674042311392 1.9999639082922429 2.9999621525980240 3.9999624326938217 4.9999637943994202 5.9999631737926356 6.9999624135178626 7.9999622058988908 8.9999626800539367 9.9999633366660579  	-3.2595768860832486e-05 -3.6091707757091029e-05 -3.7847401975987793e-05 -3.7567306178321047e-05 -3.6205600579819475e-05 -3.6826207364448749e-05 -3.7586482137363930e-05 -3.7794101109156486e-05 -3.7319946063263387e-05 -3.6663333942144050e-05  	2010	5.9150525823379510e+01
0.7	0.9999680542509526 1.9999646483300790 2.9999629248459962 3.9999632024248730 4.9999645403256601 5.9999639491777996 6.9999632092698159 7.9999630148216356 8.9999634768567844 9.9999641284427518  	-3.1945749047412875e-05 -3.5351669920968831e-05 -3.7075154003751720e-05 -3.6797575126978899e-05 -3.5459674339932690e-05 -3.6050822200373034e-05 -3.6790730184144138e-05 -3.6985178364368210e-05 -3.6523143215561049e-05 -3.5871557248157160e-05  	1610	5.7988167761678049e+01
0.8	0.9999691349447974 1.9999658669989837 2.9999641986710177 3.9999644703094175 4.9999657667062065 5.9999652146744005 6.9999645056140585 7.9999643278498977 8.9999647712796591 9.9999654098431527  	-3.0865055202555780e-05 -3.4133001016289910e-05 -3.5801328982287828e-05 -3.5529690582514206e-05 -3.4233293793484165e-05 -3.4785325599528960e-05 -3.5494385941525763e-05 -3.5672150102250555e-05 -3.5228720340896302e-05 -3.4590156847258413e-05  	1311	5.6358477126217402e+01
0.9	0.9999702766065496 1.9999671552737026 2.9999655450855416 3.9999658105912612 4.9999670632847488 5.9999665532546169 6.9999658769776945 7.9999657171972363 8.9999661408750509 9.9999667659897415  	-2.9723393450420410e-05 -3.2844726297387439e-05 -3.4454914458414976e-05 -3.4189408738782845e-05 -3.2936715251175031e-05 -3.3446745383081122e-05 -3.4123022305543316e-05 -3.4282802763740960e-05 -3.3859124949131569e-05 -3.3234010258453850e-05  	1078	5.4164619010041562e+01
1.0	0.9999718294638993 1.9999689002630996 2.9999673701527145 3.9999676262264603 4.9999688182744579 5.9999683592111994 6.9999677256386166 7.9999675870610627 8.9999679848410032 9.9999685887428296  	-2.8170536100713406e-05 -3.1099736900408459e-05 -3.2629847285470248e-05 -3.2373773539706718e-05 -3.1181725542062111e-05 -3.1640788800579855e-05 -3.2274361383421990e-05 -3.2412938937298463e-05 -3.2015158996756554e-05 -3.1411257170432805e-05  	892	5.1320335216083258e+01
1.1	0.9999738040008909 1.9999711128833475 2.9999696854440141 3.9999699285985764 4.9999710425072612 5.9999706429736674 6.9999700620820100 7.9999699476749759 8.9999703133567941 9.9999708877802025  	-2.6195999109135393e-05 -2.8887116652498435e-05 -3.0314555985899716e-05 -3.0071401423636956e-05 -2.8957492738790336e-05 -2.9357026332554881e-05 -2.9937917989997231e-05 -3.0052325024065851e-05 -2.9686643205906194e-05 -2.9112219797511329e-05  	740	4.7769770383979328e+01
1.2	0.9999760549540374 1.9999736321863582 2.9999723221942092 3.9999725501849621 4.9999735745125031 5.9999732401882051 6.9999727185220832 7.9999726302657148 8.9999729597869322 9.9999734993281955  	-2.3945045962592282e-05 -2.6367813641847704e-05 -2.7677805790826682e-05 -2.7449815037883241e-05 -2.6425487496872790e-05 -2.6759811794896393e-05 -2.7281477916751840e-05 -2.7369734285187519e-05 -2.7040213067763830e-05 -2.6500671804541298e-05  	613	4.3509341654359510e+01
1.3	0.9999785717622026 1.9999764459248293 2.9999752676530491 3.9999754782570731 4.9999764019126776 5.9999761377687122 6.9999756814604348 7.9999756209992183 8.9999759105391615 9.9999764097548809  	-2.1428237797382899e-05 -2.3554075170739708e-05 -2.4732346950884221e-05 -2.4521742926886247e-05 -2.3598087322440620e-05 -2.3862231287807845e-05 -2.4318539565193475e-05 -2.4379000781671323e-05 -2.4089460838538912e-05 -2.3590245119109454e-05  	505	3.8603393538922930e+01
1.4	0.9999815564957856 1.9999797747808019 2.9999787537984255 3.9999789426087813 4.9999797455560806 5.9999795577926252 6.9999791768788544 7.9999791457605163 8.9999793889763158 9.9999798371031989  	-1.8443504214427087e-05 -2.0225219198088951e-05 -2.1246201574509627e-05 -2.1057391218715082e-05 -2.0254443919398568e-05 -2.0442207374848920e-05 -2.0823121145596701e-05 -2.0854239483725223e-05 -2.0611023684224961e-05 -2.0162896801068086e-05  	412	3.3183783203713325e+01
1.5	0.9999846266617954 1.9999831970184898 2.9999823380169350 3.9999825042246875 4.9999831827030015 5.9999830716148530 6.9999827675989401 7.9999827656631153 8.9999829615864186 9.9999833561801363  	-1.5373338204560660e-05 -1.6802981510188886e-05 -1.7661983064964915e-05 -1.7495775312514894e-05 -1.6817296998539177e-05 -1.6928385146997016e-05 -1.7232401059885660e-05 -1.7234336884719426e-05 -1.7038413581360601e-05 -1.6643819863659814e-05  	330	2.7427570957131461e+01
1.6	0.9999882482161201 1.9999872186546901 2.9999865527796556 3.9999866900916543 4.9999872192391246 5.9999871855994487 6.9999869682866613 7.9999869939065356 8.9999871361078583 9.9999874613598418  	-1.1751783879909716e-05 -1.2781345309909042e-05 -1.3447220344353639e-05 -1.3309908345693344e-05 -1.2780760875408248e-05 -1.2814400551341976e-05 -1.3031713338662598e-05 -1.3006093464440482e-05 -1.2863892141723454e-05 -1.2538640158155090e-05  	257	2.1513671065288484e+01
1.7	1.0000002877019862 1.9999997832511647 3.0000002791015699 3.9999997593551493 5.0000001577782429 6.0000001287919353 7.0000002457465618 8.0000000844606305 8.9999999557677697 9.9999999901366863  	2.8770198623462306e-07 -2.1674883532440958e-07 2.7910156985555545e-07 -2.4064485071306763e-07 1.5777824291518527e-07 1.2879193533876787e-07 2.4574656176667986e-07 8.4460630489502364e-08 -4.4232230322904798e-08 -9.8633137213255395e-09  	603	3.7298886431176043e-01
1.8	3112782512592126837869221441572443344613763303555624901142201048841579759820199476980020452662613756281103254153128928316728616961995008931351531830586689643544072766255480538992263462527412058035879193237769034574189426650743461545779178034909053544597470119566158536875106035445293851011696526122624745472.0000000000000000 -6536831071252323066311450867333165226381486655571976828566754776216268718271274902771004516078271546893481873300976383467392228206747247661474081110362888750754415088061185121969084096884566032763039904664391340164861165405180408325019622393659671040131120226422106285540863748519508483112368882461345579008.0000000000000000 548526146543835367534692311764668759318047720664991052422651555313451824022692658847699257002212159275360411929181269300412855177159027065486849917567981857808315551910999346961096094019641359074916676201817462954185220904455094920249960894847778606972812805430537079483799769397879833618411619240336424960.0000000000000000 -1845504115129768564595060642873166378217289971064502672137556207151756778431854468054764072201590714369286906139945626714554608122752914757158936424245453158197634369243537062982168361424512361595726525229098314370046946354634061874773599699189942797669314455089798000132497377603193735482481902088999665664.0000000000000000 8884709474343292932898511465257841711559771157122462806909513053678795966657610343700105464512598439042130925724794697260275416026111880917268101921182061431427483514470056131427324420259549984465843291330588322035181421842794552486186145507992939811909137886889338325537574677612496090365306066998485057536.0000000000000000 3711082968959365532741166548704690559283448047494416128181915280948647907676667972899167944130430462982542277250671324372356796726637053740447393068918796699689669769229923573774075880591503831723953858186408936443914552507969207929245696719446763698048708421320112134956774593007221988118202754484234354688.0000000000000000 3116905067434888655160169552378027527650146308533352967413912693191916674039335674509315135042290243685431711802961236443263811493602292811067488964711132662018922928763214137536509698935300745352686214289542868095965399402554320863640888519321270393421117094631842748119451248239267360521029420112611901440.0000000000000000 646132924298178668340166967393391140804408684772244014670743835643957803573203149327151581950771912038042644192691653782884041459885057176009994768354339917509539511899113850125999173108153283651145953764960533445242495060703621596747589872743951499437530536725080487587844798132599882784261976579012296704.0000000000000000 -3449146008154274563336919161692414341971141570799885927590187893869002942661200841987989907287719018256247298487729402166673683239755248023597336051532239094298361235939336895458188158501594056561203899743259320585461976719749908060036931350227448801457785105247666824131604188358954358400511058569626386432.0000000000000000 inf  	3.1127825125921268e+306 -6.5368310712523231e+306 5.4852614654383537e+305 -1.8455041151297686e+306 8.8847094743432929e+306 3.7110829689593655e+306 3.1169050674348887e+306 6.4613292429817867e+305 -3.4491460081542746e+306 inf  	7308	-nan(ind)
1.9	-5738525719469328655948967023702080875050055815714538570178461129114637195357028512275524534091736169317174215043453492566421428641496026629200943039517201318650954038324622080198078186295306204354624043173885967581212277953906298650394716331876396196253863239073453532464256333663328223282090645749955035136.0000000000000000 9106695415157674250361688747985571694275516367903569099304333937618149908986895102879983828743674162431051227215497359994393738148617204644544868493824559916819221834099741176644277469993195911874142034881917970112635553932711204353540070434784373626881637870391005225356674465673771647181518600640627998720.0000000000000000 -2042239587717578496032412632770826861185311761961879457717695591056172746690164927488149859894086526483166449047352061251285292518753874763691786974607997735628269697882410448645476951539319802301066999901502866686473207469041197402467449539809494048124513040562223427386322202137525706491052704850046353408.0000000000000000 4095633043304454868227190620627050833668550365311309288053739754962333788892017011971240260874184126901331131024210728307894297195952985141112415430684735586082404568806174822932862380695199860901024781153199447433433896338391576309017114760932319309534972135605423419785635744617790155891100200318357471232.0000000000000000 -10345988848386407636389000354935696503234001413106133517904575325336196330378910710808008191797333496039251504729964152189234661884895253479028240291366494800797574118654731257030355021764312656876821047209539143433362027454106136905150785454328185547022144712388135509841956624643769422391884016415433293824.0000000000000000 -5627157159973609336919352885239781300899593681689867515592040002353301527550971198875069401354962957272612081776974088249673063407476698282805944548090960833105704063491896164187802595951874012025975962966108447722332518290945425007436609126317556255062976927887798591094152350145143122114163874389236383744.0000000000000000 -6322515190690874380841392996551852569048339202370458179314324628619246163200918415235716557540193318614073652147943384949781840387960044790216022983866967673084019080566994887915793628921437892587802597730690662336706241418810893717983069517795081352902635075502151898282010237054693590272117346581266563072.0000000000000000 -1355021888591562332325115068740377341173364309969849229786826558465668685417337752905827232195481353166103821089967560429231491844790525324323844751933339998564277035647937100827187287292952112456809198720379335597424764871462213964412985241079437297029776982135348219170639781396948927062244110350313062400.0000000000000000 3862441465535073944689353121075908766238150195605762793023243786622870529704672573917738237833716978727176607164109731303813639323877922969666990979862685486058892783671450861976217760563306879693939533088412269122686992905088046487052129681970034446764194921110845526210295045266996892090625567968433537024.0000000000000000 -inf  	-5.7385257194693287e+306 9.1066954151576743e+306 -2.0422395877175785e+306 4.0956330433044549e+306 -1.0345988848386408e+307 -5.6271571599736093e+306 -6.3225151906908744e+306 -1.3550218885915623e+306 3.8624414655350739e+306 -inf  	3450	-nan(ind)
1.66	0.9999898616922457 1.9999889362345575 2.9999884360431195 3.9999884658862990 4.9999889911697686 5.9999890038717627 6.9999888497892027 7.9999888665948680 8.9999889666292550 9.9999892308482323  	-1.0138307754314901e-05 -1.1063765442465012e-05 -1.1563956880511483e-05 -1.1534113701028303e-05 -1.1008830231418187e-05 -1.0996128237295011e-05 -1.1150210797339355e-05 -1.1133405132035534e-05 -1.1033370745039406e-05 -1.0769151767675567e-05  	215	1.8805018731789097e+01
